Time	Ref	Planta	Derivada1
2.180000	0.820104	0.858497	2.971081
2.184000	0.817809	0.856463	2.943935
2.188000	0.815500	0.854415	2.916549
2.192000	0.813178	0.852353	2.888923
2.196000	0.810844	0.850277	2.861056
2.200000	0.808496	0.848188	2.832949
2.204000	0.806136	0.846086	2.804599
2.208000	0.803763	0.843970	2.776008
2.212000	0.801376	0.841840	2.747174
2.216000	0.798977	0.839697	2.718098
2.220000	0.796565	0.837540	2.688778
2.224000	0.794141	0.835370	2.659214
2.228000	0.791704	0.833187	2.629406
2.232000	0.789254	0.830990	2.599354
2.236000	0.786791	0.828780	2.569057
2.240000	0.784316	0.826557	2.538514
2.244000	0.781828	0.824321	2.507726
2.248000	0.779328	0.822071	2.476691
2.252000	0.776815	0.819808	2.445409
2.256000	0.774290	0.817532	2.413881
2.260000	0.771753	0.815243	2.382105
2.264000	0.769203	0.812941	2.350081
2.268000	0.766641	0.810626	2.317809
2.272000	0.764066	0.808298	2.285288
2.276000	0.761480	0.805957	2.252518
2.280000	0.758881	0.803603	2.219498
2.284000	0.756270	0.801237	2.186229
2.288000	0.753647	0.798857	2.152710
2.292000	0.751012	0.796465	2.118939
2.296000	0.748364	0.794060	2.084918
2.300000	0.745705	0.791642	2.050645
2.304000	0.743034	0.789212	2.016121
2.308000	0.740351	0.786769	1.981344
2.312000	0.737656	0.784313	1.946315
2.316000	0.734950	0.781845	1.911033
2.320000	0.732231	0.779364	1.875498
2.324000	0.729501	0.776871	1.839709
2.328000	0.726760	0.774366	1.803666
2.332000	0.724006	0.771848	1.767369
2.336000	0.721241	0.769317	1.730818
2.340000	0.718465	0.766775	1.694011
2.344000	0.715677	0.764220	1.656949
2.348000	0.712877	0.761653	1.619631
2.352000	0.710067	0.759073	1.582057
2.356000	0.707244	0.756482	1.544227
2.360000	0.704411	0.753878	1.506141
2.364000	0.701566	0.751263	1.467797
2.368000	0.698710	0.748635	1.429196
2.372000	0.695843	0.745995	1.390337
2.376000	0.692964	0.743344	1.351221
2.380000	0.690075	0.740680	1.311846
2.384000	0.687175	0.738005	1.272212
2.388000	0.684263	0.735318	1.232320
2.392000	0.681341	0.732619	1.192169
2.396000	0.678407	0.729909	1.151758
2.400000	0.675463	0.727186	1.111088
2.404000	0.672508	0.724452	1.070157
2.408000	0.669542	0.721707	1.028966
2.412000	0.666566	0.718950	0.987515
2.416000	0.663579	0.716181	0.945803
2.420000	0.660581	0.713401	0.903830
2.424000	0.657573	0.710610	0.861595
2.428000	0.654554	0.707807	0.819099
2.432000	0.651525	0.704993	0.776341
2.436000	0.648485	0.702168	0.733321
2.440000	0.645435	0.699331	0.690038
2.444000	0.642375	0.696483	0.646493
2.448000	0.639304	0.693624	0.602686
2.452000	0.636223	0.690754	0.558615
2.456000	0.633132	0.687873	0.514280
2.460000	0.630031	0.684981	0.469683
2.464000	0.626919	0.682078	0.424821
2.468000	0.623798	0.679164	0.379696
2.472000	0.620667	0.676239	0.334307
2.476000	0.617525	0.673303	0.288653
2.480000	0.614374	0.670357	0.242735
2.484000	0.611213	0.667400	0.196552
2.488000	0.608043	0.664432	0.150104
2.492000	0.604862	0.661453	0.103391
2.496000	0.601672	0.658464	0.056413
2.500000	0.598472	0.655465	0.009170
2.504000	0.595263	0.652455	-0.038339
2.508000	0.592044	0.649434	-0.086114
2.512000	0.588816	0.646403	-0.134155
2.516000	0.585578	0.643362	-0.182461
2.520000	0.582331	0.640310	-0.231034
2.524000	0.579074	0.637248	-0.279873
2.528000	0.575808	0.634176	-0.328978
2.532000	0.572534	0.631094	-0.378350
2.536000	0.569249	0.628002	-0.427988
2.540000	0.565956	0.624900	-0.477893
2.544000	0.562654	0.621787	-0.528065
2.548000	0.559343	0.618665	-0.578504
2.552000	0.556022	0.615533	-0.629210
2.556000	0.552693	0.612391	-0.680183
2.560000	0.549355	0.609239	-0.731423
2.564000	0.546009	0.606078	-0.782930
2.568000	0.542653	0.602907	-0.834704
2.572000	0.539289	0.599726	-0.886746
2.576000	0.535916	0.596535	-0.939055
2.580000	0.532535	0.593335	-0.991631
2.584000	0.529145	0.590126	-1.044475
2.588000	0.525747	0.586907	-1.097586
2.592000	0.522340	0.583678	-1.150964
2.596000	0.518925	0.580441	-1.204610
2.600000	0.515501	0.577194	-1.258523
2.604000	0.512070	0.573938	-1.312703
2.608000	0.508630	0.570672	-1.367151
2.612000	0.505182	0.567398	-1.421866
2.616000	0.501726	0.564114	-1.476848
2.620000	0.498262	0.560821	-1.532098
2.624000	0.494790	0.557520	-1.587614
2.628000	0.491310	0.554209	-1.643398
2.632000	0.487822	0.550890	-1.699448
2.636000	0.484326	0.547562	-1.755766
2.640000	0.480823	0.544225	-1.812350
2.644000	0.477312	0.540879	-1.869200
2.648000	0.473793	0.537525	-1.926317
2.652000	0.470266	0.534162	-1.983701
2.656000	0.466733	0.530790	-2.041350
2.660000	0.463191	0.527410	-2.099266
2.664000	0.459643	0.524022	-2.157447
2.668000	0.456086	0.520625	-2.215894
2.672000	0.452523	0.517220	-2.274607
2.676000	0.448952	0.513807	-2.333584
2.680000	0.445375	0.510385	-2.392827
2.684000	0.441790	0.506955	-2.452334
2.688000	0.438198	0.503518	-2.512106
2.692000	0.434599	0.500072	-2.572142
2.696000	0.430993	0.496618	-2.632441
2.700000	0.427380	0.493156	-2.693005
2.704000	0.423760	0.489686	-2.753832
2.708000	0.420134	0.486208	-2.814921
2.712000	0.416501	0.482723	-2.876273
2.716000	0.412861	0.479230	-2.937888
2.720000	0.409214	0.475729	-2.999764
2.724000	0.405561	0.472221	-3.061901
2.728000	0.401902	0.468705	-3.124300
2.732000	0.398236	0.465181	-3.186959
2.736000	0.394563	0.461650	-3.249878
2.740000	0.390885	0.458112	-3.313057
2.744000	0.387200	0.454566	-3.376495
2.748000	0.383509	0.451014	-3.440192
2.752000	0.379812	0.447454	-3.504146
2.756000	0.376108	0.443886	-3.568358
2.760000	0.372399	0.440312	-3.632827
2.764000	0.368684	0.436730	-3.697552
2.768000	0.364963	0.433142	-3.762532
